Age Group,Gender,Usage Frequency,Daily Usage,Purpose,Image Pressure,Anxiety/Insecurity,Self-Esteem Impact,Life Comparison,FOMO,Spending Influence,Body Image,Influencer Engagement,Tried Trends, Sleep Impact,Mental Drain,Happiness/Stress,Took a Break,Reduce Usage?
18-24,Male,Once a day,30 minutes - 1 hour,Keeping up with friends,Rarely,Sometimes,No effect,Rarely,Rarely,Rarely,No,Never,No,Sometimes it affects my sleep,Sometimes,Depends on the content I engage with,Occasionally,Yes
18-24,Female,Multiple times a day,More than 2 hours,Entertainment,Rarely,No,Depends on the content I see,Occasionally,Sometimes,Yes,No,A few times a week,No,Sometimes it affects my sleep,Yes,No affect,Yes,Yes
18-24,Male,Multiple times a day,More than 2 hours,Entertainment,Rarely,Yes,Depends on the content I see,Yes,No,Occasionally,"Yes, positively",Never,Yes,I stay up late because of Instagram,Yes,More stressed,Never,Maybe
Above 30,Female,Multiple times a day,<30 minutes,Keeping up with friends,Yes,Sometimes,No effect,Rarely,No,No,"Yes, positively",Daily,No,Sometimes it affects my sleep,No,Happier,Never,Maybe
Above 30,Male,Never,<30 minutes,Keeping up with friends,No,No,No effect,No,No,No,No,Never,No,No impact,No,No affect,Never,Strongly
Above 30,Female,Rarely,<30 minutes,Keeping up with friends,No,Yes,No effect,No,No,Occasionally,No,Occasionally,Occasionally,I avoid Instagram before bed,Rarely,No affect,Occasionally,Yes
Above 30,Male,Rarely,<30 minutes,Keeping up with friends,No,No,No effect,No,No,No,No,Occasionally,No,No impact,Yes,No affect,Yes,Strongly
18-24,Male,Multiple times a day,More than 2 hours,Entertainment,No,No,No effect,Rarely,No,Yes,No,Never,Rarely,Sometimes it affects my sleep,Sometimes,No affect,Yes,Strongly
18-24,Female,Multiple times a day,1-2 hours,Learning new skills,No,No,No effect,No,No,Rarely,No,Never,No,No impact,No,Depends on the content I engage with,Yes,Maybe
Above 30,Female,Rarely,<30 minutes,Keeping up with friends,No,No,No effect,No,No,Yes,No,Never,No,I avoid Instagram before bed,Rarely,Depends on the content I engage with,Yes,Maybe
Below 13,Male,Never,<30 minutes,Entertainment,No,No,No effect,No,No,Rarely,No,Never,Rarely,No impact,No,Depends on the content I engage with,Yes,Yes
18-24,Male,A few times a week,30 minutes - 1 hour,Keeping up with friends,No,No,Depends on the content I see,Rarely,Sometimes,No,No,Never,Yes,I avoid Instagram before bed,No,Depends on the content I engage with,Never,Maybe
18-24,Male,Multiple times a day,30 minutes - 1 hour,Following influencers/celebrities,No,Sometimes,No effect,Yes,Sometimes,Rarely,"Yes, positively",A few times a week,No,Sometimes it affects my sleep,Yes,Happier,Yes,Strongly
Above 30,Female,Once a day,<30 minutes,News and current events,Yes,No,Lowers self-confidence,No,Sometimes,Rarely,"Yes, negatively",Occasionally,Rarely,I avoid Instagram before bed,Yes,Happier,Never,Never
18-24,Male,Multiple times a day,1-2 hours,Entertainment,Rarely,Sometimes,Depends on the content I see,Rarely,Sometimes,Occasionally,No,Never,Rarely,Sometimes it affects my sleep,Yes,Depends on the content I engage with,Yes,Yes
13-17,Male,Multiple times a day,30 minutes - 1 hour,Following influencers/celebrities,No,Sometimes,Depends on the content I see,Yes,Yes,Yes,No,Never,Rarely,I stay up late because of Instagram,Yes,More stressed,Never,Maybe
Above 30,Female,Once a day,More than 2 hours,Entertainment,Sometimes,No,More stressed,Sometimes,Yes,Sometimes,"Yes, positively",A few times a week,No,I stay up late because of Instagram,Rarely,Happier,No,Strongly
18-24,Female,Once a day,<30 minutes,Keeping up with friends,Occasionally,Sometimes,No effect,Rarely,Yes,Occasionally,No,Daily,No,Sometimes it affects my sleep,Sometimes,Depends on the content I see,Yes,Strongly
18-24,Female,Never,30 minutes - 1 hour,Keeping up with friends,Sometimes,Rarely,More stressed,Rarely,Rarely,Rarely,"Yes, positively",Daily,No,Sometimes it affects my sleep,Sometimes,No effect,Yes,Maybe
Above 30,Male,Multiple times a day,More than 2 hours,Keeping up with friends,Yes,Sometimes,Depends on the content I see,Rarely,Yes,Rarely,"Yes, positively",A few times a week,Yes,Sometimes it affects my sleep,Sometimes,More stressed,Yes,Maybe
18-24,Male,Never,30 minutes - 1 hour,Keeping up with friends,No,Yes,Happier,Yes,No,Rarely,No,Daily,No,I stay up late because of Instagram,Yes,More stressed,Yes,Maybe
25-30,Female,Multiple times a day,More than 2 hours,Keeping up with friends,Rarely,Yes,No effect,No,Rarely,Rarely,No,Never,Yes,I stay up late because of Instagram,Rarely,Depends on the content I see,Yes,Strongly
25-30,Female,Never,More than 2 hours,Entertainment,Occasionally,No,More stressed,Sometimes,Occasionally,Yes,No,A few times a week,Yes,No impact,No,Depends on the content I see,No,Maybe
25-30,Female,Once a day,30 minutes - 1 hour,Keeping up with friends,No,Occasionally,More stressed,Yes,Rarely,Rarely,No,A few times a week,Yes,Sometimes it affects my sleep,No,No effect,Yes,No
25-30,Male,Never,30 minutes - 1 hour,Entertainment,No,Rarely,More stressed,Yes,Occasionally,Sometimes,"Yes, positively",A few times a week,Yes,Sometimes it affects my sleep,No,Happier,Occasionally,Maybe
25-30,Male,Multiple times a day,More than 2 hours,Keeping up with friends,No,Rarely,More stressed,Yes,Yes,Sometimes,No,A few times a week,No,I stay up late because of Instagram,No,Happier,Yes,No
18-24,Male,Once a day,30 minutes - 1 hour,Keeping up with friends,Rarely,Occasionally,No effect,Yes,Yes,Sometimes,"Yes, positively",Never,Yes,Sometimes it affects my sleep,Yes,No effect,Yes,Maybe
18-24,Male,Multiple times a day,30 minutes - 1 hour,Entertainment,Sometimes,Yes,No effect,No,Yes,Rarely,No,A few times a week,Yes,Sometimes it affects my sleep,Rarely,Happier,No,Maybe
18-24,Male,Once a day,30 minutes - 1 hour,Entertainment,No,Yes,No effect,No,Occasionally,Occasionally,"Yes, positively",Never,No,I stay up late because of Instagram,Occasionally,No effect,Yes,Strongly
Above 30,Male,Multiple times a day,<30 minutes,Keeping up with friends,Sometimes,Rarely,Happier,No,Rarely,Rarely,"Yes, positively",Daily,Yes,I stay up late because of Instagram,No,No effect,No,Yes
Above 30,Male,Multiple times a day,30 minutes - 1 hour,Entertainment,Rarely,Sometimes,No effect,No,No,No,No,Never,No,I stay up late because of Instagram,Yes,Depends on the content I see,Yes,Strongly
18-24,Female,Never,30 minutes - 1 hour,Entertainment,No,Sometimes,No effect,Sometimes,Rarely,Rarely,No,Never,No,I stay up late because of Instagram,Occasionally,Depends on the content I see,No,Strongly
25-30,Male,Multiple times a day,<30 minutes,Entertainment,Sometimes,Sometimes,Depends on the content I see,Sometimes,Rarely,No,No,Never,Yes,I stay up late because of Instagram,No,Happier,Yes,No
18-24,Female,Never,More than 2 hours,Keeping up with friends,No,No,Happier,No,Sometimes,No,"Yes, positively",Daily,No,I stay up late because of Instagram,Sometimes,Happier,Yes,No
Above 30,Male,Once a day,<30 minutes,Keeping up with friends,Occasionally,Occasionally,Happier,No,Sometimes,Rarely,"Yes, positively",Never,Yes,Sometimes it affects my sleep,No,Depends on the content I see,No,Strongly
Above 30,Female,Never,<30 minutes,Entertainment,Occasionally,Rarely,No effect,No,Yes,Rarely,No,Daily,No,I stay up late because of Instagram,No,Happier,No,Yes
Above 30,Male,Never,30 minutes - 1 hour,Keeping up with friends,Sometimes,Occasionally,More stressed,Rarely,Occasionally,Occasionally,No,Daily,No,I stay up late because of Instagram,Sometimes,Happier,No,Yes
25-30,Male,Once a day,30 minutes - 1 hour,Entertainment,Sometimes,Occasionally,More stressed,Yes,No,Yes,No,Daily,Yes,Sometimes it affects my sleep,Occasionally,No effect,No,No
25-30,Male,Never,30 minutes - 1 hour,Keeping up with friends,Rarely,Sometimes,More stressed,Yes,No,Occasionally,"Yes, positively",Daily,No,I stay up late because of Instagram,Occasionally,Depends on the content I see,Yes,No
25-30,Male,Multiple times a day,More than 2 hours,Entertainment,Yes,No,No effect,Occasionally,Rarely,Sometimes,No,A few times a week,No,Sometimes it affects my sleep,Rarely,Depends on the content I see,No,Yes
25-30,Female,Multiple times a day,30 minutes - 1 hour,Entertainment,Occasionally,Sometimes,More stressed,No,Occasionally,Occasionally,"Yes, positively",Daily,Yes,No impact,Rarely,Depends on the content I see,Occasionally,No
Above 30,Male,Multiple times a day,<30 minutes,Keeping up with friends,No,Rarely,Depends on the content I see,Yes,Rarely,Sometimes,"Yes, positively",Never,No,Sometimes it affects my sleep,Sometimes,Depends on the content I see,Occasionally,Strongly
Above 30,Male,Multiple times a day,<30 minutes,Entertainment,No,Yes,More stressed,No,No,Yes,"Yes, positively",A few times a week,Yes,Sometimes it affects my sleep,Yes,No effect,Occasionally,Maybe
25-30,Male,Never,<30 minutes,Entertainment,No,Sometimes,Depends on the content I see,Rarely,Occasionally,Rarely,"Yes, positively",Never,Yes,I stay up late because of Instagram,Rarely,No effect,Yes,No
25-30,Female,Multiple times a day,30 minutes - 1 hour,Keeping up with friends,Rarely,Sometimes,More stressed,Rarely,No,Sometimes,"Yes, positively",Daily,Yes,No impact,Yes,More stressed,Yes,Strongly
18-24,Female,Never,<30 minutes,Entertainment,Rarely,Sometimes,More stressed,Rarely,Sometimes,No,No,Never,Yes,Sometimes it affects my sleep,Yes,Depends on the content I see,Occasionally,Strongly
18-24,Female,Never,30 minutes - 1 hour,Keeping up with friends,Yes,Occasionally,No effect,Yes,Yes,Occasionally,"Yes, positively",A few times a week,No,No impact,Rarely,More stressed,No,Strongly
Above 30,Male,Once a day,<30 minutes,Keeping up with friends,Occasionally,Yes,Depends on the content I see,Sometimes,Sometimes,Sometimes,"Yes, positively",Never,Yes,No impact,Rarely,Depends on the content I see,Yes,No
Above 30,Male,Never,30 minutes - 1 hour,Entertainment,Yes,No,More stressed,Rarely,Sometimes,No,"Yes, positively",Daily,Yes,I stay up late because of Instagram,No,Happier,Occasionally,No
18-24,Female,Once a day,30 minutes - 1 hour,Keeping up with friends,Occasionally,Occasionally,Happier,Rarely,Occasionally,Occasionally,No,Daily,No,Sometimes it affects my sleep,Sometimes,Happier,Occasionally,Maybe